# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   98       3.740802028870e-10       8.356197028230e-14      -2.789602888905e-12       0.000000000000e+00       8.583601791023e-12       1.391509340319e-12      -6.367470439346e-15 
   99       3.784954597929e-10       8.537512827280e-14      -2.872646286551e-12       0.000000000000e+00       8.354407607201e-12       1.363510474557e-12      -6.309558963664e-15 
  100       3.829321021296e-10       8.718075169128e-14      -2.955996459014e-12       0.000000000000e+00       8.132416172264e-12       1.336208761519e-12      -6.248393102640e-15 
  101       3.873901455827e-10       8.897736000508e-14      -3.039597729573e-12       0.000000000000e+00       7.917640197633e-12       1.309615343887e-12      -6.184383740529e-15 
  102       3.918694966591e-10       9.076345401710e-14      -3.123393474794e-12       0.000000000000e+00       7.710035211985e-12       1.283735369809e-12      -6.117972548926e-15 
  103       3.963699478456e-10       9.253751625620e-14      -3.207326139864e-12       0.000000000000e+00       7.509497525715e-12       1.258567767672e-12      -6.049632653312e-15 
  104       4.008911727693e-10       9.429801136763e-14      -3.291337253929e-12       0.000000000000e+00       7.315862195404e-12       1.234105020875e-12      -5.979869299607e-15 
  105       4.054327213562e-10       9.604338650346e-14      -3.375367445418e-12       0.000000000000e+00       7.128900988281e-12       1.210332942597e-12      -5.909220520723e-15 
  106       4.099940149910e-10       9.777207171300e-14      -3.459356457383e-12       0.000000000000e+00       6.948320346689e-12       1.187230450569e-12      -5.838257803115e-15 
  107       4.145743416766e-10       9.948248033320e-14      -3.543243162829e-12       0.000000000000e+00       6.773759352549e-12       1.164769341845e-12      -5.767586753330e-15 
  108       4.191728511933e-10       1.011730093791e-13      -3.626965580046e-12       0.000000000000e+00       6.604787691826e-12       1.142914067573e-12      -5.697847764562e-15 
  109       4.237885502582e-10       1.028420399343e-13      -3.710460887944e-12       0.000000000000e+00       6.440903618993e-12       1.121621507764e-12      -5.629716683200e-15 
  110       4.284204787894e-10       1.044879757767e-13      -3.793666022029e-12       0.000000000000e+00       6.281646280602e-12       1.100851760887e-12      -5.563777877296e-15 
