# Matter power spectrum P(k) at redshift z=0
# for k=1.0756e-05 to 5.05928 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.340146234137e-02       1.055729563993e+04 
       4.361069572145e-02       1.050106078998e+04 
       4.382186713473e-02       1.044511139504e+04 
       4.403505056727e-02       1.038863599394e+04 
       4.425032386187e-02       1.033270715481e+04 
       4.446776898455e-02       1.027678417040e+04 
       4.468747231409e-02       1.022075642832e+04 
       4.490952495725e-02       1.016490430495e+04 
       4.513402309222e-02       1.010912357682e+04 
       4.536106834360e-02       1.005336956157e+04 
       4.559076819215e-02       9.997608704492e+03 
       4.582323642342e-02       9.941838142622e+03 
       4.605859361957e-02       9.886240925368e+03 
       4.629696769950e-02       9.830351979604e+03 
       4.653849451296e-02       9.774852915822e+03 
       4.678331849519e-02       9.719401197291e+03 
       4.703159338957e-02       9.664058880274e+03 
       4.728348304672e-02       9.608067901019e+03 
       4.753916230998e-02       9.552521338955e+03 
       4.779881799830e-02       9.497073593996e+03 
       4.806264999983e-02       9.441167279818e+03 
       4.833087249093e-02       9.385982558042e+03 
       4.860371529818e-02       9.329787542434e+03 
       4.888142542358e-02       9.274245621759e+03 
       4.916426875652e-02       9.217839045118e+03 
       4.945253200020e-02       9.162226206915e+03 
       4.974652484485e-02       9.106180765982e+03 
       5.004658242589e-02       9.049649986676e+03 
       5.035306811216e-02       8.993164887068e+03 
       5.066637667757e-02       8.936593978655e+03 
       5.098693791975e-02       8.880044411865e+03 
       5.131522080155e-02       8.822845934652e+03 
       5.165173820637e-02       8.765604553432e+03 
       5.199705241662e-02       8.707957506881e+03 
       5.235178144766e-02       8.650424124802e+03 
       5.271660639744e-02       8.592110775828e+03 
       5.309228000718e-02       8.533451196827e+03 
       5.347963667216e-02       8.474504059646e+03 
       5.387960419616e-02       8.415199374565e+03 
       5.429321765192e-02       8.355221875534e+03 
       5.472163579689e-02       8.294779772837e+03 
       5.516616060323e-02       8.233688684763e+03 
       5.562826060073e-02       8.171699629110e+03 
       5.610959890933e-02       8.109290067280e+03 
       5.661206706435e-02       8.045818750797e+03 
       5.713782602636e-02       7.981490527752e+03 
       5.768935613500e-02       7.915908499596e+03 
       5.826951822891e-02       7.849096203809e+03 
       5.888162873208e-02       7.780860757687e+03 
       5.952955221196e-02       7.710985549318e+03 
       6.021781574179e-02       7.639181455528e+03 
