# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   85       3.190877945948e-10       6.018311269848e-14      -1.762883562573e-12       2.113914395167e-16       1.244628104700e-11       1.844490125311e-12      -6.969952659512e-15 
   86       3.231908397517e-10       6.196148165190e-14      -1.837011882501e-12       2.164615075298e-16       1.207926879212e-11       1.802477726054e-12      -6.920803057719e-15 
   87       3.273199110996e-10       6.375128318426e-14      -1.912097431915e-12       2.215948996583e-16       1.172644788673e-11       1.761926035642e-12      -6.875172028540e-15 
   88       3.314741204665e-10       6.555113643876e-14      -1.988102965690e-12       2.267920353501e-16       1.138638863277e-11       1.722687101633e-12      -6.831534563867e-15 
   89       3.356526050015e-10       6.735963886418e-14      -2.064989216642e-12       2.320533190926e-16       1.105773183900e-11       1.684619454689e-12      -6.788462457148e-15 
   90       3.398555144524e-10       6.917545275390e-14      -2.142711218143e-12       2.373790097625e-16       1.074028389922e-11       1.647704315336e-12      -6.745490375539e-15 
   91       3.440831566442e-10       7.099723158237e-14      -2.221221442177e-12       2.427693319672e-16       1.043407660020e-11       1.611945728005e-12      -6.702376167918e-15 
   92       3.483356893044e-10       7.282359386368e-14      -2.300470915681e-12       2.482245156018e-16       1.013903066671e-11       1.577334790288e-12      -6.658837502383e-15 
   93       3.526131123782e-10       7.465312314722e-14      -2.380409224944e-12       2.537447959260e-16       9.854951361797e-12       1.543849134568e-12      -6.614550484943e-15 
   94       3.569152603440e-10       7.648436801331e-14      -2.460984520007e-12       2.593304136402e-16       9.581524087103e-12       1.511452409653e-12      -6.569148278219e-15 
   95       3.612417945285e-10       7.831584206890e-14      -2.542143519063e-12       2.649816149625e-16       9.318309983163e-12       1.480093762404e-12      -6.522219720140e-15 
   96       3.655921954222e-10       8.014602394325e-14      -2.623831512858e-12       2.706986517048e-16       9.064741529710e-12       1.449707319367e-12      -6.473307942642e-15 
   97       3.699657549948e-10       8.197335728354e-14      -2.705992369089e-12       2.764817813495e-16       8.820118145982e-12       1.420211668402e-12      -6.421908990363e-15 
   98       3.743615690103e-10       8.379625075059e-14      -2.788568536803e-12       2.823312671260e-16       8.583601791023e-12       1.391509340319e-12      -6.367470439346e-15 
   99       3.787787637754e-10       8.561311119334e-14      -2.871501963786e-12       2.882473920081e-16       8.354407607201e-12       1.363510474557e-12      -6.309558963664e-15 
  100       3.832172296404e-10       8.742244854317e-14      -2.954736987462e-12       2.942305028036e-16       8.132416172264e-12       1.336208761519e-12      -6.248393102640e-15 
  101       3.876769775999e-10       8.922278583801e-14      -3.038217863546e-12       3.002809724809e-16       7.917640197633e-12       1.309615343887e-12      -6.184383740529e-15 
  102       3.921579093470e-10       9.101262776183e-14      -3.121887904851e-12       3.063991870470e-16       7.710035211985e-12       1.283735369809e-12      -6.117972548926e-15 
