# Matter power spectrum P(k) at redshift z=0
# for k=1.0756e-05 to 5.05928 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.678331849519e-02       9.848618317211e+03 
       4.703159338957e-02       9.792659779167e+03 
       4.728348304672e-02       9.736043011316e+03 
       4.753916230998e-02       9.679875799103e+03 
       4.779881799830e-02       9.623807963855e+03 
       4.806264999983e-02       9.567274664228e+03 
       4.833087249093e-02       9.511472141552e+03 
       4.860371529818e-02       9.454645213745e+03 
       4.888142542358e-02       9.398479959458e+03 
       4.916426875652e-02       9.341438172528e+03 
       4.945253200020e-02       9.285200860643e+03 
       4.974652484485e-02       9.228525036665e+03 
       5.004658242589e-02       9.171357235170e+03 
       5.035306811216e-02       9.114235624029e+03 
       5.066637667757e-02       9.057026840833e+03 
       5.098693791975e-02       8.999839572438e+03 
       5.131522080155e-02       8.941994445781e+03 
       5.165173820637e-02       8.884105939411e+03 
       5.199705241662e-02       8.825806566087e+03 
       5.235178144766e-02       8.767623041443e+03 
       5.271660639744e-02       8.708649710761e+03 
       5.309228000718e-02       8.649326357318e+03 
       5.347963667216e-02       8.589712448039e+03 
       5.387960419616e-02       8.529736958627e+03 
       5.429321765192e-02       8.469080214037e+03 
       5.472163579689e-02       8.407953405245e+03 
       5.516616060323e-02       8.346169928838e+03 
       5.562826060073e-02       8.283477854781e+03 
       5.610959890933e-02       8.220361699083e+03 
       5.661206706435e-02       8.156171623964e+03 
       5.713782602636e-02       8.091115251871e+03 
       5.768935613500e-02       8.024790012962e+03 
       5.826951822891e-02       7.957219930793e+03 
       5.888162873208e-02       7.888210168211e+03 
       5.952955221196e-02       7.817542036344e+03 
       6.021781574179e-02       7.744922891462e+03 
       6.095175030046e-02       7.670035465754e+03 
       6.173766527099e-02       7.592728101226e+03 
       6.258306250674e-02       7.512325649038e+03 
       6.349689567201e-02       7.427851025549e+03 
       6.448987711319e-02       7.339128094977e+03 
       6.557482545346e-02       7.244908172288e+03 
       6.676702713475e-02       7.143891358683e+03 
       6.808454548034e-02       7.034294584202e+03 
       6.954833925354e-02       6.913998893994e+03 
       7.118193851756e-02       6.779879214800e+03 
       7.301027981614e-02       6.628529554214e+03 
       7.505720623479e-02       6.455625510477e+03 
       7.734130904393e-02       6.256598863339e+03 
       7.987055222718e-02       6.027722453662e+03 
       8.263751691384e-02       5.767093272200e+03 
       8.561814583746e-02       5.477012436382e+03 
       8.877578305029e-02       5.163730748299e+03 
       9.206899960103e-02       4.837837686559e+03 
       9.545925076047e-02       4.511543122208e+03 
       9.891534215610e-02       4.197244620421e+03 
       1.024144094157e-01       3.905409062462e+03 
       1.059407949253e-01       3.643295168053e+03 
       1.094842477274e-01       3.415037252115e+03 
       1.130382476884e-01       3.221417984669e+03 
       1.165987223395e-01       3.060840139581e+03 
       1.201631564722e-01       2.929317318204e+03 
       1.237300072963e-01       2.821635836653e+03 
       1.272983323827e-01       2.731802195779e+03 
       1.308675574155e-01       2.653585476381e+03 
       1.344373328525e-01       2.580921143249e+03 
       1.380074460615e-01       2.508757400117e+03 
       1.415777676814e-01       2.433090981293e+03 
       1.451482189587e-01       2.351406629718e+03 
       1.487187518860e-01       2.262750056550e+03 
       1.522893371352e-01       2.167615786320e+03 
       1.558599567295e-01       2.067692255005e+03 
       1.594305995949e-01       1.965487198555e+03 
       1.630012588590e-01       1.863875418811e+03 
       1.665719302110e-01       1.765721423117e+03 
       1.701426109054e-01       1.673533204800e+03 
       1.737132991565e-01       1.589235569484e+03 
       1.772839937702e-01       1.514041725994e+03 
       1.808546939198e-01       1.448427714542e+03 
       1.844253990093e-01       1.392175283002e+03 
       1.879961085891e-01       1.344476833346e+03 
       1.915668223052e-01       1.304071458532e+03 
